LOG DE TOKENS (12-11-2025-20h06)
Línea 2: INTEGER -> 42
Línea 3: FLOAT -> 3.1415
Línea 4: BOOLEAN -> True
Línea 5: BOOLEAN -> False
Línea 6: STRING -> "Hola Swift"
Línea 7: CHARACTER -> A
Línea 8: LBRACKET -> [
Línea 8: INTEGER -> 1
Línea 8: COMMA -> ,
Línea 8: INTEGER -> 2
Línea 8: COMMA -> ,
Línea 8: INTEGER -> 3
Línea 8: RBRACKET -> ]
Línea 8: SEMICOLON -> ;
Línea 9: LBRACE -> {
Línea 9: STRING -> "clave"
Línea 9: COLON -> :
Línea 9: STRING -> "valor"
Línea 9: RBRACE -> }
Línea 10: LPAREN -> (
Línea 10: BOOLEAN -> False
Línea 10: RPAREN -> )
