======================================================================
ANÁLISIS SINTÁCTICO - JORDAN SÁNCHEZ
Fecha: 27/11/2025 16:25:10
======================================================================

ERRORES SINTÁCTICOS:
Linea 2: token 'import' inesperado (tipo: IMPORT)
Linea 6: token 'let' inesperado (tipo: LET)
Linea 6: token 'mensaje' inesperado (tipo: ID)
Linea 6: token ':' inesperado (tipo: COLON)
Linea 6: token 'String' inesperado (tipo: ID)
Linea 6: token '=' inesperado (tipo: ASSIGN)
Linea 6: token '"Hola Swift"' inesperado (tipo: STRING)
Linea 7: token 'var' inesperado (tipo: VAR)
Linea 7: token 'resultado' inesperado (tipo: ID)
Linea 7: token ':' inesperado (tipo: COLON)
Linea 7: token 'Double' inesperado (tipo: ID)
Linea 7: token '=' inesperado (tipo: ASSIGN)
Linea 7: token '3.14159' inesperado (tipo: NUMBER)
Linea 10: token 'func' inesperado (tipo: FUNC)
Linea 10: token 'sumar' inesperado (tipo: ID)
Linea 10: token '(' inesperado (tipo: LPAREN)
Linea 10: token 'a' inesperado (tipo: ID)
Linea 10: token ':' inesperado (tipo: COLON)
Linea 10: token 'Int' inesperado (tipo: ID)
Linea 10: token ',' inesperado (tipo: COMMA)
Linea 10: token 'b' inesperado (tipo: ID)
Linea 10: token ':' inesperado (tipo: COLON)
Linea 10: token 'Int' inesperado (tipo: ID)
Linea 10: token ')' inesperado (tipo: RPAREN)
Linea 10: token '->' inesperado (tipo: ARROW)
Linea 10: token 'Int' inesperado (tipo: ID)
Linea 10: token '{' inesperado (tipo: LBRACE)
Linea 11: token 'return' inesperado (tipo: RETURN)
Linea 11: token 'a' inesperado (tipo: ID)
Linea 12: token '}' inesperado (tipo: RBRACE)
Linea 15: token 'if' inesperado (tipo: IF)
Linea 15: token 'numero' inesperado (tipo: ID)
Linea 15: token '{' inesperado (tipo: LBRACE)
Linea 16: token 'print' inesperado (tipo: ID)
Linea 16: token '(' inesperado (tipo: LPAREN)
Linea 16: token '"Número positivo"' inesperado (tipo: STRING)
Linea 16: token ')' inesperado (tipo: RPAREN)
Linea 17: token '}' inesperado (tipo: RBRACE)
Linea 17: token 'else' inesperado (tipo: ELSE)
Linea 17: token '{' inesperado (tipo: LBRACE)
Linea 18: token 'print' inesperado (tipo: ID)
Linea 18: token '(' inesperado (tipo: LPAREN)
Linea 18: token '"Número negativo"' inesperado (tipo: STRING)
Linea 18: token ')' inesperado (tipo: RPAREN)
Linea 19: token '}' inesperado (tipo: RBRACE)
Linea 22: token 'var' inesperado (tipo: VAR)
Linea 22: token 'contador' inesperado (tipo: ID)
Linea 22: token '=' inesperado (tipo: ASSIGN)
Linea 22: token '5' inesperado (tipo: NUMBER)
Linea 23: token 'while' inesperado (tipo: WHILE)
Linea 23: token 'contador' inesperado (tipo: ID)
Linea 23: token '{' inesperado (tipo: LBRACE)
Linea 24: token 'print' inesperado (tipo: ID)
Linea 24: token '(' inesperado (tipo: LPAREN)
Linea 24: token 'contador' inesperado (tipo: ID)
Linea 24: token ')' inesperado (tipo: RPAREN)
Linea 25: token 'contador' inesperado (tipo: ID)
Linea 25: token '=' inesperado (tipo: ASSIGN)
Linea 25: token 'contador' inesperado (tipo: ID)
Linea 26: token '}' inesperado (tipo: RBRACE)
Linea 29: token 'let' inesperado (tipo: LET)
Linea 29: token 'numeros' inesperado (tipo: ID)
Linea 29: token ':' inesperado (tipo: COLON)
Linea 29: token '[' inesperado (tipo: LBRACKET)
Linea 29: token 'Int' inesperado (tipo: ID)
Linea 29: token ']' inesperado (tipo: RBRACKET)
Linea 29: token '=' inesperado (tipo: ASSIGN)
Linea 29: token '[' inesperado (tipo: LBRACKET)
Linea 29: token '1' inesperado (tipo: NUMBER)
Linea 29: token ',' inesperado (tipo: COMMA)
Linea 29: token '2' inesperado (tipo: NUMBER)
Linea 29: token ',' inesperado (tipo: COMMA)
Linea 29: token '3' inesperado (tipo: NUMBER)
Linea 29: token ',' inesperado (tipo: COMMA)
Linea 29: token '4' inesperado (tipo: NUMBER)
